mentionType,mentions,man,bran,idx,x,y,surfaceBadge,surfaceName,surfaceLetter,Manufacturer,Brand
anken sabletone,"[{'words': 'chlorobromide, enlarging, slow, warm tones, suitable for all toning processes', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}]",anken,sabletone,30,0,6,0,,,Anken,Sabletone
anken ebony,"[{'words': 'bromide, enlarging, fast, cold tones', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}]",anken,ebony,31,1,6,0,,,Anken,Ebony
ansco convira,"[{'words': 'chloride, contact, normal speed, glossy, velvet, cold black tones', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}, {'words': 'chloride, contact, normal speed, glossy, velvet; cold black tones', 'citation': 'Popular Photography, May 1953, page 144', 'imgurl': 'scans/image00144.jpg'}]",ansco,convira,32,2,6,0,,,Ansco,Convira
ansco cykon,"[{'words': 'chloride, contact, normal speed, portraits, commerical warm tone prints, suitable for gold tone', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}, {'words': 'chloride, contact, normal speed, for portraits, commerical warm tone prints; suitable for gold tone', 'citation': 'Popular Photography, May 1953, page 144', 'imgurl': 'scans/image00144.jpg'}]",ansco,cykon,33,3,6,0,,,Ansco,Cykon
ansco proof,"[{'words': 'P.O.P., contact, for proofs, print by daylight or arc', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}, {'words': 'P.O.P., contact, for proofs, print by daylight or arc', 'citation': 'Popular Photography, May 1953, page 144', 'imgurl': 'scans/image00144.jpg'}]",ansco,proof,34,4,6,0,,,Ansco,Proof
ansco speedex,"[{'words': 'chloride, rapid, glossy, for optical printers, blue-black tones', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}, {'words': 'chloride rapid, glossy, for optical printers; blue-black tones', 'citation': 'Popular Photography, May 1953, page 144', 'imgurl': 'scans/image00144.jpg'}]",ansco,speedex,35,0,7,0,,,Ansco,Speedex
ansco brovira,"[{'words': 'bromide, enlarging, fast, pictorial, reproduction, good latitude, rich black tones', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}, {'words': 'bromide, enlarging, fast, for pictorial, reproduction; good latitude, rich black tones', 'citation': 'Popular Photography, May 1953, page 144', 'imgurl': 'scans/image00144.jpg'}]",ansco,brovira,36,1,7,0,,,Ansco,Brovira
ansco projection proof,"[{'words': 'bromide, enlarging, fast, D.O.P., rough surface minimizes retouching', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}, {'words': 'chlorobromide, enlarging, fast, D.O.P., rough surface minimizes retouching', 'citation': 'Popular Photography, May 1953, page 144', 'imgurl': 'scans/image00144.jpg'}]",ansco,projection proof,37,2,7,0,,,Ansco,Projection Proof
ansco scona reflex,"[{'words': 'reflex, copy, subdued light', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}, {'words': 'reflex, copy, subdued light', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}, {'words': 'for reflex copies; can use in subdued light', 'citation': 'Popular Photography, May 1953, page 144', 'imgurl': 'scans/image00144.jpg'}]",ansco,scona reflex,38,3,7,0,,,Ansco,Scona Reflex
dassonville charcoal ember,"[{'words': 'chlorobromide, enlarging, slow, warm tones, pictorial, portrait', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}]",dassonville,charcoal ember,39,4,7,0,,,Dassonville,Charcoal Ember
dassonville charcoal black,"[{'words': 'bromide, enlarging, fast, cold tones', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}]",dassonville,charcoal black,40,0,8,0,,,Dassonville,Charcoal Black
devolite devolite,"[{'words': 'chloride, contact, slow, darkroom not necessary, cold tones, glossy', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}, {'words': 'chloride, contact, slow, darkroom not necessary; cold tones; glossy', 'citation': 'Popular Photography, May 1953, page 144', 'imgurl': 'scans/image00144.jpg'}]",devolite,devolite,41,1,8,0,,,Devolite,Devolite
devolite devodark,"[{'words': 'chloride, contact, normal speed, two tones, warm and cold', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}, {'words': 'chloride, contact, normal speed, warm tone', 'citation': 'Popular Photography, May 1953, page 144', 'imgurl': 'scans/image00144.jpg'}]",devolite,devodark,42,2,8,0,,,Devolite,Devodark
dupont apex,"[{'words': 'chloride, contact, normal speed, wide latitude in exposure and development, gives full scale value of negative', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}, {'words': 'PHOTOGRAPHIC CONTACT PAPER—a popular commercial and photo-finishing paper available in nine surfaces and six degrees of contrast. Professional ‘Apex’ in surfaces BB, DL, EL and Y is ideal for warm-tone portrait work', 'citation': 'Popular Photography, March 1951, page 11', 'imgurl': 'scans/image00011.jpg'}, {'words': 'chloride, contact, normal speed, wide latitude in exposure and development; gives full scale value of negative', 'citation': 'Popular Photography, May 1953, page 144', 'imgurl': 'scans/image00144.jpg'}]",dupont,apex,43,3,8,0,,,Dupont,Apex
dupont velour black,"[{'words': 'chlorobromide, enlarging, normal speed, portrait, pictorial, commercial, full scale, surfaces for every type of work', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}, {'words': 'PHOTOGRAPHIC PROJECTION PAPER—favorite professional enlarging paper with sensitive emulsion that reacts to slightest differences in negative density. Grade 1 Soft ...for contrasty negatives. Grade 2 Normal...for average negatives. Grade 3 Medium Hard...for flat negatives. Grade 4 Contrast...for extremely flat negatives.', 'citation': 'Popular Photography, March 1951, page 11', 'imgurl': 'scans/image00011.jpg'}, {'words': 'chlorobromide, enlarging, normal speed, for portrait, pictorial, commercial; full scale; surfaces for every type of work', 'citation': 'Popular Photography, May 1953, page 144', 'imgurl': 'scans/image00144.jpg'}, {'words': 'The image tone of Velour Black photographic projection paper will emphasize the depth of the shadows and sparkle of every highlight. You have your choice of 12 other surfaces in “Velour Black” too, ranging from Single Weight Glossy to Double Weight Rough Texture.', 'citation': 'Popular Photography, June 1954, page 8', 'imgurl': 'scans/image00008 (2).jpg'}]",dupont,velour black,44,4,8,0,,,Dupont,Velour Black
dupont ivora,"[{'words': 'chlorobromide, enlarging, normal speed, white film case, for miniatures and coloring', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}, {'words': 'chlorobromide, enlarging, normal speed, on white film base, for miniatures and coloring', 'citation': 'Popular Photography, May 1953, page 144', 'imgurl': 'scans/image00144.jpg'}, {'words': 'You Can Make Prints With an Ivory Finish Wonderful for Gifts. Whenever you have an exceptionally fine picture of the baby, your wife or girl friend, and would like to make a luxurious print for a unique gift or to carry in purse or wallet...try printing it on Du Pont “Ivora.” It gives your picture deep, rich, warm tones. Or, by redevelopment, you can obtain an equally beautiful sepia tone. The surface is especially made for easy coloring with oils or airbrush technique. “Ivora” lies perfectly flat and is cut or trimmed as readily as paper, without risk of cracking or breaking. Its velvet-smooth surface registers the finest negative detail and gives equal delicacy in color treatment. The warmth and life of the subject are emphasized by the creamy, ivorylike stock. Ivory stock tint, velvet-smooth texture. “Ivora” is printed by projection or contact and is the same speed as Du Pont Warmtone. Because of the beautiful results you can easily get, And Ivora prints make truly wonderful gifts.', 'citation': 'Popular Photography, April 1954, page 165', 'imgurl': 'scans/image00165.jpg'}]",dupont,ivora,45,0,9,0,,,Dupont,Ivora
dupont adlux,"[{'words': 'chlorobromide, enlarging, normal speed, film, coated both sides, for rear illumination', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}, {'words': 'chlorobromide, enlarging, normal speed, film, coated both sides, for rear illumination', 'citation': 'Popular Photography, May 1953, page 144', 'imgurl': 'scans/image00144.jpg'}]",dupont,adlux,46,1,9,0,,,Dupont,Adlux
dupont canvas,"[{'words': 'chlorobromide, enlarging, normal speed, fine texture fabric with velour black coating, has same quality as paper, takes oil colors', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}, {'words': 'chlorobromide, enlarging, normal speed, fine texture fabric with velour black coating, has same quality as paper, takes oil colors', 'citation': 'Popular Photography, May 1953, page 144', 'imgurl': 'scans/image00144.jpg'}]",dupont,canvas,47,2,9,0,,,Dupont,Canvas
kodak ad-type A,"[{'words': 'chloride, contact, normal speed, full scale, cold tones, folds without cracking', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}, {'words': 'Need prints for folding, mailing, or French-fold greeting cards? Kodak Ad-Type A has a special lightweight stock that folds without cracking. Same speed as Kodak Azo, similar in quality, and available in six contrast grades to fit the density scale of every negative. White stock tint, smooth texture, lustre sheen. Folding stock.', 'citation': 'Popular Photography, June 1951, page 99', 'imgurl': 'scans/image00099.jpg'}, {'words': 'chloride, contact, normal speed, full scale, cold tones, folds without cracking', 'citation': 'Popular Photography, May 1953, page 144', 'imgurl': 'scans/image00144.jpg'}]",kodak,ad-type A,48,3,9,1,Kodak A,A,Kodak,Ad-Type
kodak aristo,"[{'words': 'chloride, contact, normal speed, full scale, for commercial and illustrative work', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}, {'words': 'chloride, contact, normal speed, full scale, for commercial, illustrative, and portrait work', 'citation': 'Popular Photography, May 1953, page 144', 'imgurl': 'scans/image00144.jpg'}, {'words': 'warm-tone double-weight contact papers, primarily for professional use', 'citation': 'Popular Photography, March 1954, page 81', 'imgurl': 'scans/image00081.jpg'}, {'words': 'for contact printing', 'citation': 'Popular Photography, November 1954, page 90', 'imgurl': 'scans/image00090.jpg'}]",kodak,aristo,49,4,9,0,,,Kodak,Aristo
kodak athena,"[{'words': 'chloride, contact, normal speed, portraits, warming brilliance and fine gradation', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}, {'words': 'chloride, contact, normal speed, portraits, warming brilliance and fine gradation', 'citation': 'Popular Photography, May 1953, page 144', 'imgurl': 'scans/image00144.jpg'}, {'words': 'warm-tone double-weight contact papers, primarily for professional use', 'citation': 'Popular Photography, March 1954, page 81', 'imgurl': 'scans/image00081.jpg'}, {'words': 'for contact printing', 'citation': 'Popular Photography, November 1954, page 90', 'imgurl': 'scans/image00090.jpg'}]",kodak,athena,50,0,10,0,,,Kodak,Athena
kodak azo,"[{'words': 'chloride, contact, normal speed, amateur, portrait, commercial work', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}, {'words': 'contact', 'citation': 'Popular Photography, October 1950, page 85', 'imgurl': 'scans/image00085.jpg'}, {'words': 'for contact prints', 'citation': 'Popular Photography, January 1953, page 73', 'imgurl': 'scans/image00073.jpg'}, {'words': 'for contact prints', 'citation': 'Popular Photography, March 1953, page 81', 'imgurl': 'scans/image00081.jpg'}, {'words': 'chloride, contact, normal speed, amateur, portrait, commercial work', 'citation': 'Popular Photography, May 1953, page 144', 'imgurl': 'scans/image00144.jpg'}, {'words': 'for contact printing', 'citation': 'Popular Photography, February 1954, page 70', 'imgurl': 'scans/image00070 (2).jpg'}, {'words': 'available in single weight and double weight, glossy as well as fine-grained luster surface, and printing grades to fit all types of negatives', 'citation': 'Popular Photography, March 1954, page 81', 'imgurl': 'scans/image00081.jpg'}, {'words': 'for contact printing', 'citation': 'Popular Photography, November 1954, page 90', 'imgurl': 'scans/image00090.jpg'}]",kodak,azo,51,1,10,0,,,Kodak,Azo
kodak illustrators' azo,"[{'words': 'chloride, contact, normal speed, full scale, chiefly for illustrative work', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}, {'words': 'chloride, contact, normal speed, full scale, chiefly for illustrative work', 'citation': 'Popular Photography, May 1953, page 144', 'imgurl': 'scans/image00144.jpg'}]",kodak,illustrators' azo,52,2,10,0,,,Kodak,Illustrators' Azo
kodak resisto,"[{'words': 'chloride, contact, normal speed, water-resistant base for rapid processing', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}, {'words': 'chloride, contact, normal speed, water-resistant base for rapid processing', 'citation': 'Popular Photography, May 1953, page 144', 'imgurl': 'scans/image00144.jpg'}, {'words': 'for contact printing', 'citation': 'Popular Photography, November 1954, page 90', 'imgurl': 'scans/image00090.jpg'}]",kodak,resisto,53,3,10,0,,,Kodak,Resisto
kodak velite,"[{'words': 'chloride, contact, slow, can be handled in normal room light', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}, {'words': 'chloride, contact, slow, can be handled in normal room light', 'citation': 'Popular Photography, May 1953, page 144', 'imgurl': 'scans/image00144.jpg'}, {'words': 'for contact printing', 'citation': 'Popular Photography, November 1954, page 90', 'imgurl': 'scans/image00090.jpg'}]",kodak,velite,54,4,10,0,,,Kodak,Velite
kodak velox,"[{'words': 'chloride, contact, normal speed, amateur and photofinishing, blue-black tones', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}, {'words': 'contact', 'citation': 'Popular Photography, October 1950, page 85', 'imgurl': 'scans/image00085.jpg'}, {'words': 'for contact prints', 'citation': 'Popular Photography, January 1953, page 73', 'imgurl': 'scans/image00073.jpg'}, {'words': 'for contact prints', 'citation': 'Popular Photography, March 1953, page 81', 'imgurl': 'scans/image00081.jpg'}, {'words': 'chloride, contact, normal speed, amateur and photofinishing, blue-black tones', 'citation': 'Popular Photography, May 1953, page 144', 'imgurl': 'scans/image00144.jpg'}, {'words': 'for contact printing', 'citation': 'Popular Photography, February 1954, page 70', 'imgurl': 'scans/image00070 (2).jpg'}, {'words': '...an excellent contact printing paper to choose. It comes in six different grades, to give you good prints from the widest possible range of negatives. And it has the crisp, blue-black tone most people like.', 'citation': 'Popular Photography, March 1954, page 81', 'imgurl': 'scans/image00081.jpg'}, {'words': 'for contact printing', 'citation': 'Popular Photography, November 1954, page 90', 'imgurl': 'scans/image00090.jpg'}]",kodak,velox,55,0,11,0,,,Kodak,Velox
kodak studio proof,"[{'words': 'P.O.P., contact, slow, for proofs, print by daylight or arc', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}, {'words': 'P.O.P., contact, slow, for proofs, print by daylight or arc', 'citation': 'Popular Photography, May 1953, page 144', 'imgurl': 'scans/image00144.jpg'}]",kodak,studio proof,56,1,11,0,,,Kodak,Studio Proof
kodak illustrators' special,"[{'words': 'chlorobromide, enlarging, normal, pure white stock, full scale, rich tones', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}, {'words': 'For Opal quality in a special fine-grained surface suited equally to exhibition and reproduction. Fine-grained texture.', 'citation': 'Popular Photography, January 1953, page 73', 'imgurl': 'scans/image00073.jpg'}, {'words': 'prints for fine reproduction', 'citation': 'Popular Photography, March 1953, page 82', 'imgurl': 'scans/image00082.jpg'}, {'words': 'For Opal quality in a special fine-grained surface suited equally to exhibition and reproduction. Fine-grained texture.', 'citation': 'Popular Photography, March 1953, page 81', 'imgurl': 'scans/image00081.jpg'}, {'words': 'chlorobromide, enlarging, normal, pure white stock, full scale, rich tones', 'citation': 'Popular Photography, May 1953, page 144', 'imgurl': 'scans/image00144.jpg'}, {'words': 'a lustrous fine-grained surface for fine reproduction prints', 'citation': 'Popular Photography, October 1953, page 93', 'imgurl': 'scans/image00093.jpg'}, {'words': 'for fine illustration work', 'citation': 'Popular Photography, February 1954, page 70', 'imgurl': 'scans/image00070 (2).jpg'}, {'words': 'widely used for making prints for reproduction, is similar to Kodak Ektalure in speed, but is on pure white stock', 'citation': 'Popular Photography, March 1954, page 81', 'imgurl': 'scans/image00081.jpg'}, {'words': 'for hanging at home', 'citation': 'Popular Photography, November 1954, page 90', 'imgurl': 'scans/image00090.jpg'}, {'words': 'for fine enlargements', 'citation': 'Popular Photography, November 1954, page 90', 'imgurl': 'scans/image00090.jpg'}]",kodak,illustrators' special,57,2,11,0,,,Kodak,Illustrators' Special
kodak portrait proof,"[{'words': 'chlorobromide, enlarging, fast, rough, D.O.P., for proofs, murals', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}, {'words': 'Kodak Portrait Proof Paper—a warm, luminous-tone paper especially suited for delicate subjects and atmospheric landscapes.', 'citation': 'Popular Photography, September 1951, page 89', 'imgurl': 'scans/image00089.jpg'}, {'words': 'chlorobromide, enlarging, fast, rough, D.O.P., for proofs, murals', 'citation': 'Popular Photography, May 1953, page 144', 'imgurl': 'scans/image00144.jpg'}]",kodak,portrait proof,58,3,11,0,,,Kodak,Portrait Proof
kodak resisto rapid,"[{'words': 'chlorobromide, enlarging, fast, water resistant base for rapid processing', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}, {'words': 'chlorobromide, enlarging, fast, water resistant base for rapid processing', 'citation': 'Popular Photography, May 1953, page 144', 'imgurl': 'scans/image00144.jpg'}, {'words': 'extra-fast printing and processing', 'citation': 'Popular Photography, February 1954, page 70', 'imgurl': 'scans/image00070 (2).jpg'}, {'words': 'projection paper similar to Kodabromide, but on a water-resistant stock so that it dries almost immediately', 'citation': 'Popular Photography, March 1954, page 81', 'imgurl': 'scans/image00081.jpg'}]",kodak,resisto rapid,59,4,11,0,,,Kodak,Resisto Rapid
kodak royal bromide,"[{'words': 'bromide, enlarging, very fast, extreme speed for portrait, pictorial work', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}]",kodak,royal bromide,60,0,12,0,,,Kodak,Royal Bromide
kodak velox rapid,"[{'words': 'chloride, enlarging, slow, optical printers, full scale, rich tones', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}, {'words': 'chloride, enlarging, slow, optical printers, full scale, rich tones', 'citation': 'Popular Photography, May 1953, page 144', 'imgurl': 'scans/image00144.jpg'}]",kodak,velox rapid,61,1,12,0,,,Kodak,Velox Rapid
kodak unicontrast v.r.,"[{'words': 'chloride, enlarging, slow, optical printers, full scale, rich tones, longer scale', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}]",kodak,unicontrast v.r.,62,2,12,0,,,Kodak,Unicontrast V.R.
kodak carbro paper,"[{'words': 'chlorobromide, enlarging, fast, special paper for making carbro prints', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}, {'words': 'chlorobromide, enlarging, fast, special paper for making carbro prints', 'citation': 'Popular Photography, May 1953, page 144', 'imgurl': 'scans/image00144.jpg'}]",kodak,carbro paper,63,3,12,0,,,Kodak,Carbro Paper
kodak super speed dir. pos.,"[{'words': 'bromide, camera, fast, reversal, positives by exposure in camera', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}, {'words': 'bromide, camera, fast, reversal, positives by exposure in camera', 'citation': 'Popular Photography, May 1953, page 144', 'imgurl': 'scans/image00144.jpg'}]",kodak,super speed dir. pos.,64,4,12,0,,,Kodak,Super Speed Dir. Pos.
kodak translite,"[{'words': 'chlorobromide, enlarging, fast, film, coated both sides, rear illumination, enlarged negatives', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}, {'words': 'This is a special paper for display transparencies. On the face is an Opal-type emulsion which yields warm brown tones; on the back is a fast bromide emulsion to reinforce the image on the face when the print is viewed by transmitted light. This paper is an interesting medium for translucent panels, lamp shades, and the like. Single weight only.', 'citation': 'Popular Photography, June 1951, page 100', 'imgurl': 'scans/image00100.jpg'}, {'words': 'for transilluminated prints', 'citation': 'Popular Photography, January 1953, page 73', 'imgurl': 'scans/image00073.jpg'}, {'words': 'for transilluminated prints', 'citation': 'Popular Photography, March 1953, page 81', 'imgurl': 'scans/image00081.jpg'}, {'words': 'chlorobromide, enlarging, fast, supplied as film and paper; coated both sides; rear illumination, enlarged negatives', 'citation': 'Popular Photography, May 1953, page 144', 'imgurl': 'scans/image00144.jpg'}, {'words': 'for rear-illuminated prints', 'citation': 'Popular Photography, February 1954, page 70', 'imgurl': 'scans/image00070 (2).jpg'}, {'words': '...widely used for prints and displays to be illuminated from the rear. It has a special translucent base.', 'citation': 'Popular Photography, March 1954, page 81', 'imgurl': 'scans/image00081.jpg'}, {'words': 'for fine enlargements', 'citation': 'Popular Photography, November 1954, page 90', 'imgurl': 'scans/image00090.jpg'}]",kodak,translite,65,0,13,0,,,Kodak,Translite
kodak kodagraph contact,"[{'words': 'chloride, contact, normal speed, reflex copies, smooth luster', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}]",kodak,kodagraph contact,66,1,13,0,,,Kodak,Kodagraph Contact
gevaert artex projection,"[{'words': 'chlorobromide, enlarging, normal speed, warm tones for portrait work, rough surfaces', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}]",gevaert,artex projection,67,2,13,0,,,Gevaert,Artex Projection
gevaert P.O.P. proof,"[{'words': 'P.O.P., contact, normal speed, proofs, print by daylight or arc, glossy', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}]",gevaert,P.O.P. proof,68,3,13,0,,,Gevaert,P.O.P. Proof
gevaert projection proof,"[{'words': 'chlorobromide, enlarging, normal speed, warm tone emulsion on a rough matte base', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}]",gevaert,projection proof,69,4,13,0,,,Gevaert,Projection Proof
grant direx,"[{'words': 'direct pos., camera, fast, direct positive prints by chemical reversal of emulsion, used in the camera', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}]",grant,direx,70,0,14,0,,,Grant,Direx
haloid halo,"[{'words': 'chloride, contact, normal speed, glossy, cold tones, full scale of gradation', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}]",haloid,halo,71,1,14,0,,,Haloid,Halo
haloid industro,"[{'words': 'chloride, contact, normal speed, wide latitude, warm tones, portrait, commercial', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}]",haloid,industro,72,2,14,0,,,Haloid,Industro
haloid halobrome,"[{'words': 'chlorobromide, enlarging, fast, commerical photography, photofinishing', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}]",haloid,halobrome,73,3,14,0,,,Haloid,Halobrome
haloid portraya,"[{'words': 'chlorobromide, enlarging, normal speed, portrait enlargements, warm tones, wide latitude', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}]",haloid,portraya,74,4,14,0,,,Haloid,Portraya
haloid portraya projection proof,"[{'words': 'chlorobromide, enlarging, medium speed, photo murals and portrait proofs', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}]",haloid,portraya projection proof,75,0,15,0,,,Haloid,Portraya Projection Proof
ilford commercial,"[{'words': 'bromide, enlarging, fast, commercial and portrait work', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}]",ilford,commercial,76,1,15,0,,,Ilford,Commercial
ilford de luxe,"[{'words': 'bromide, carbro, fast, long range, cold tones', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}]",ilford,de luxe,77,2,15,0,,,Ilford,De Luxe
ilford plastika,"[{'words': 'chlorobromide, enlarging, fast, wide latitude, no blocking in shadows, warm blacks', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}]",ilford,plastika,78,3,15,0,,,Ilford,Plastika
illingsworth de luxe bromide,"[{'words': 'bromide, carbro, fast, long range, cold tones, for carbro and bromoil work', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}]",illingsworth,de luxe bromide,79,4,15,0,,,Illingsworth,De Luxe Bromide
dupont warmtone DL,"[{'words': 'A new projection printing paper. FOR LUXURIOUS, RICHER, MORE RADIANT PICTURES. “Du Pont Warmtone is an entirely new warm tone projection printing paper...Warmtone gives your prints a soft, warm tone...an animation and sparkle of professional, salon quality. It brings out-the very best in your negatives. Finest paper you can get, Du Pont Warmtone provides an ideal finish for pastorals, seascapes, portraits, scenes in every season. Exceptional speed is a feature of new Du Pont Warmtone. You can make beautiful pictures more rapidly than ever before. Its extremely wide latitude allows greater flexibility in exposures which are compensated for in development to produce perfect prints of uniform quality. Surface Texture. Du Pont Warmtone has a superior surface texture that’s ideal for hand coloring or tinting. It tones readily and its toning properties are superb. Remarkable stability means that Du Pont Warmtone retains color and gradation. And, good news for you, it has much greater shelflife. Standsup...remains fresh longer. Now available in 5 surfaces—Du Pont Warmtone projection paper is now available in five surfaces: DL Velvet Grain texture, Natural White stock tint, Luster sheen, D. W.', 'citation': 'Popular Photography, November 1950, page 9', 'imgurl': 'scans/image00009.jpg'}, {'words': ""Du Pont Warmtone gives your prints a soft, warm tone... full of animation and sparkle. It enables you to obtain all the richness and vitality of your best negatives. You'll find it’s fun to make projection prints with Warmtone...a thrill to watch the luxurious image appear in your developer tray. You'll get real satisfaction from your work...be proud to exhibit your pictures...proud to keep them...proud to give them. Ideal for portraits, pastorals, landscapes and seascapes. You'll like Warmtone. It has exceptional speed and its extremely wide latitude permits maximum flexibility in making exposures. Excellent for coloring, tinting and toning. DL Velvet Grain texture, Natural White stock tint, Luster sheen, D. W."", 'citation': 'Popular Photography, October 1951, page 4', 'imgurl': 'scans/image00004.jpg'}]",dupont,warmtone DL,80,0,16,1,Dupont DL,DL,Dupont,Warmtone
dupont warmtone EL,"[{'words': 'A new projection printing paper. FOR LUXURIOUS, RICHER, MORE RADIANT PICTURES. “Du Pont Warmtone is an entirely new warm tone projection printing paper...Warmtone gives your prints a soft, warm tone...an animation and sparkle of professional, salon quality. It brings out-the very best in your negatives. Finest paper you can get, Du Pont Warmtone provides an ideal finish for pastorals, seascapes, portraits, scenes in every season. Exceptional speed is a feature of new Du Pont Warmtone. You can make beautiful pictures more rapidly than ever before. Its extremely wide latitude allows greater flexibility in exposures which are compensated for in development to produce perfect prints of uniform quality. Surface Texture. Du Pont Warmtone has a superior surface texture that’s ideal for hand coloring or tinting. It tones readily and its toning properties are superb. Remarkable stability means that Du Pont Warmtone retains color and gradation. And, good news for you, it has much greater shelflife. Standsup...remains fresh longer. Now available in 5 surfaces—Du Pont Warmtone projection paper is now available in five surfaces: EL Velvet Grain texture, Buff Luster sheen, D. W.', 'citation': 'Popular Photography, November 1950, page 9', 'imgurl': 'scans/image00009.jpg'}, {'words': ""Du Pont Warmtone gives your prints a soft, warm tone... full of animation and sparkle. It enables you to obtain all the richness and vitality of your best negatives. You'll find it’s fun to make projection prints with Warmtone...a thrill to watch the luxurious image appear in your developer tray. You'll get real satisfaction from your work...be proud to exhibit your pictures...proud to keep them...proud to give them. Ideal for portraits, pastorals, landscapes and seascapes. You'll like Warmtone. It has exceptional speed and its extremely wide latitude permits maximum flexibility in making exposures. Excellent for coloring, tinting and toning. EL Velvet Grain texture, Buff Luster sheen, D. W."", 'citation': 'Popular Photography, October 1951, page 4', 'imgurl': 'scans/image00004.jpg'}]",dupont,warmtone EL,81,1,16,1,Dupont EL,EL,Dupont,Warmtone
